ID,Name,Risk Elements,Tags,CreationDate,TP Score (%),APT Profile,Kill Chain Phase,Affected Compliance,Status
32,Threat2,10.10.10.11,tag1,01/07/2016 13:43,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
33,Threat3,10.10.10.13,tag2,12/05/2017 04:44,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
34,Threat4,10.10.10.12,tag1,09/17/2017 05:48:57,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
35,Threat5,10.10.10.15,tag0,12/08/2017 19:23,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
36,Threat1,10.10.10.10,no tag,11/19/2012 04:39:51,81,APT1-70%,Exploitation,"PCI, GDPR",Open
37,Threat2,10.10.10.11,tag1,07/23/2019 10:26:02,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
38,Threat3,10.10.10.13,tag2,09/24/2019 01:38:03,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
39,Threat4,10.10.10.12,tag1,05/01/2016 01:19,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
40,Threat5,10.10.10.15,tag0,05/10/2020 10:24,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
41,Threat1,10.10.10.10,no tag,05/07/2014 06:00,81,APT1-70%,Exploitation,"PCI, GDPR",Open
42,Threat2,10.10.10.11,tag1,05/23/2013 14:45:23,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
43,Threat3,10.10.10.13,tag2,03/07/2012 13:32,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
44,Threat4,10.10.10.12,tag1,07/29/2019 21:19:13,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
45,Threat5,10.10.10.15,tag0,11/29/2018 01:37:53,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
46,Threat1,10.10.10.10,no tag,09/02/2014 08:36,81,APT1-70%,Exploitation,"PCI, GDPR",Open
47,Threat2,10.10.10.11,tag1,01/14/2019 14:06:34,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
48,Threat3,10.10.10.13,tag2,09/08/2014 06:22,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
49,Threat4,10.10.10.12,tag1,05/04/2016 04:31,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
50,Threat5,10.10.10.15,tag0,08/30/2013 17:29:56,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
51,Threat1,10.10.10.10,no tag,01/31/2018 04:37:57,81,APT1-70%,Exploitation,"PCI, GDPR",Open
52,Threat2,10.10.10.11,tag1,11/02/2018 01:51,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
53,Threat3,10.10.10.13,tag2,09/20/2014 12:45:43,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
54,Threat4,10.10.10.12,tag1,07/18/2013 02:13:52,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
55,Threat5,10.10.10.15,tag0,05/17/2015 19:13:45,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
56,Threat1,10.10.10.10,no tag,09/26/2013 14:22:59,81,APT1-70%,Exploitation,"PCI, GDPR",Open
57,Threat2,10.10.10.11,tag1,08/27/2014 02:29:33,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
58,Threat3,10.10.10.13,tag2,04/14/2017 12:24:10,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
59,Threat4,10.10.10.12,tag1,04/04/2019 03:22,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
60,Threat5,10.10.10.15,tag0,10/16/2016 10:29:58,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
61,Threat1,10.10.10.10,no tag,03/18/2016 20:48:47,81,APT1-70%,Exploitation,"PCI, GDPR",Open
62,Threat2,10.10.10.11,tag1,07/08/2012 08:16,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
63,Threat3,10.10.10.13,tag2,12/10/2018 22:45,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
64,Threat4,10.10.10.12,tag1,06/14/2019 06:26:30,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
65,Threat5,10.10.10.15,tag0,03/23/2020 21:39:02,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
66,Threat1,10.10.10.10,no tag,12/26/2013 04:26:14,81,APT1-70%,Exploitation,"PCI, GDPR",Open
67,Threat2,10.10.10.11,tag1,08/27/2019 09:49:33,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
68,Threat3,10.10.10.13,tag2,08/09/2020 03:44,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
69,Threat4,10.10.10.12,tag1,09/10/2013 19:46,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
70,Threat5,10.10.10.15,tag0,12/29/2014 04:04:41,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
71,Threat1,10.10.10.10,no tag,12/04/2012 20:45,81,APT1-70%,Exploitation,"PCI, GDPR",Open
72,Threat2,10.10.10.11,tag1,07/11/2012 23:56,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
73,Threat3,10.10.10.13,tag2,09/09/2014 15:04,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
74,Threat4,10.10.10.12,tag1,05/15/2019 17:45:49,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
75,Threat5,10.10.10.15,tag0,06/07/2012 10:43,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
76,Threat1,10.10.10.10,no tag,03/25/2018 18:00:52,81,APT1-70%,Exploitation,"PCI, GDPR",Open
77,Threat2,10.10.10.11,tag1,08/16/2017 13:07:35,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
78,Threat3,10.10.10.13,tag2,07/14/2012 14:22:44,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
79,Threat4,10.10.10.12,tag1,10/26/2014 14:58:35,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
80,Threat5,10.10.10.15,tag0,10/31/2019 20:11:05,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
81,Threat1,10.10.10.10,no tag,07/10/2012 02:56,81,APT1-70%,Exploitation,"PCI, GDPR",Open
82,Threat2,10.10.10.11,tag1,01/19/2012 05:37:07,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
83,Threat3,10.10.10.13,tag2,01/18/2015 13:03:11,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
84,Threat4,10.10.10.12,tag1,08/30/2013 00:50:31,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
85,Threat5,10.10.10.15,tag0,03/11/2012 18:19,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
86,Threat1,10.10.10.10,no tag,09/09/2012 12:13,81,APT1-70%,Exploitation,"PCI, GDPR",Open
87,Threat2,10.10.10.11,tag1,12/16/2014 12:58:32,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
88,Threat3,10.10.10.13,tag2,12/08/2013 07:41,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
89,Threat4,10.10.10.12,tag1,07/06/2016 21:09,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
90,Threat5,10.10.10.15,tag0,03/11/2019 21:16,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
91,Threat1,10.10.10.10,no tag,05/01/2018 21:02,81,APT1-70%,Exploitation,"PCI, GDPR",Open
92,Threat2,10.10.10.11,tag1,11/17/2012 01:33:03,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
93,Threat3,10.10.10.13,tag2,02/20/2015 08:52:54,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
94,Threat4,10.10.10.12,tag1,01/14/2018 15:42:43,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
95,Threat5,10.10.10.15,tag0,02/08/2017 07:14,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
96,Threat1,10.10.10.10,no tag,12/20/2019 23:05:47,81,APT1-70%,Exploitation,"PCI, GDPR",Open
97,Threat2,10.10.10.11,tag1,02/07/2012 07:29,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
98,Threat3,10.10.10.13,tag2,05/22/2013 14:03:22,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
99,Threat4,10.10.10.12,tag1,05/12/2019 15:49,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
100,Threat5,10.10.10.15,tag0,11/03/2018 10:43,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
101,Threat1,10.10.10.10,no tag,12/18/2017 20:16:24,81,APT1-70%,Exploitation,"PCI, GDPR",Open
102,Threat2,10.10.10.11,tag1,10/20/2016 00:54:13,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
103,Threat3,10.10.10.13,tag2,09/11/2019 23:45,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
104,Threat4,10.10.10.12,tag1,03/16/2018 06:54:49,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
105,Threat5,10.10.10.15,tag0,04/24/2019 21:06:31,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
106,Threat1,10.10.10.10,no tag,11/27/2018 22:45:03,81,APT1-70%,Exploitation,"PCI, GDPR",Open
107,Threat2,10.10.10.11,tag1,07/13/2019 22:27:58,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
108,Threat3,10.10.10.13,tag2,06/14/2016 05:00:28,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
109,Threat4,10.10.10.12,tag1,11/17/2013 02:53:15,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
110,Threat5,10.10.10.15,tag0,03/14/2012 19:29:54,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
111,Threat1,10.10.10.10,no tag,04/13/2013 11:38:56,81,APT1-70%,Exploitation,"PCI, GDPR",Open
112,Threat2,10.10.10.11,tag1,09/09/2013 22:35,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
113,Threat3,10.10.10.13,tag2,05/31/2013 14:14:23,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
114,Threat4,10.10.10.12,tag1,01/30/2017 17:58:35,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
115,Threat5,10.10.10.15,tag0,04/18/2018 19:54:56,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
116,Threat1,10.10.10.10,no tag,02/19/2015 10:10:49,81,APT1-70%,Exploitation,"PCI, GDPR",Open
117,Threat2,10.10.10.11,tag1,04/13/2012 08:45:35,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
118,Threat3,10.10.10.13,tag2,06/13/2013 00:01:20,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
119,Threat4,10.10.10.12,tag1,09/02/2018 22:11,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
120,Threat5,10.10.10.15,tag0,09/26/2012 12:13:37,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
121,Threat1,10.10.10.10,no tag,07/21/2019 07:49:03,81,APT1-70%,Exploitation,"PCI, GDPR",Open
122,Threat2,10.10.10.11,tag1,01/20/2013 12:52:42,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
123,Threat3,10.10.10.13,tag2,07/12/2016 03:54,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
124,Threat4,10.10.10.12,tag1,05/12/2018 01:03,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
125,Threat5,10.10.10.15,tag0,08/29/2016 22:05:35,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
126,Threat1,10.10.10.10,no tag,05/15/2012 19:45:06,81,APT1-70%,Exploitation,"PCI, GDPR",Open
127,Threat2,10.10.10.11,tag1,12/11/2015 00:24,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
128,Threat3,10.10.10.13,tag2,06/30/2020 14:32:21,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
129,Threat4,10.10.10.12,tag1,09/21/2016 09:21:18,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
130,Threat5,10.10.10.15,tag0,07/17/2015 11:36:26,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
131,Threat1,10.10.10.10,no tag,03/14/2015 14:20:45,81,APT1-70%,Exploitation,"PCI, GDPR",Open
132,Threat2,10.10.10.11,tag1,10/30/2013 12:26:22,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
133,Threat3,10.10.10.13,tag2,01/02/2017 12:25,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
134,Threat4,10.10.10.12,tag1,03/26/2016 10:16:19,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
135,Threat5,10.10.10.15,tag0,02/14/2015 06:37:04,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
136,Threat1,10.10.10.10,no tag,11/17/2016 14:36:07,81,APT1-70%,Exploitation,"PCI, GDPR",Open
137,Threat2,10.10.10.11,tag1,07/21/2018 11:25:12,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
138,Threat3,10.10.10.13,tag2,04/08/2012 18:31,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
139,Threat4,10.10.10.12,tag1,03/02/2015 10:14,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
140,Threat5,10.10.10.15,tag0,12/24/2013 14:48:24,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
141,Threat1,10.10.10.10,no tag,08/16/2016 23:18:20,81,APT1-70%,Exploitation,"PCI, GDPR",Open
142,Threat2,10.10.10.11,tag1,10/11/2014 03:16,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
143,Threat3,10.10.10.13,tag2,10/26/2016 01:09:33,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
144,Threat4,10.10.10.12,tag1,05/30/2012 12:04:32,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
145,Threat5,10.10.10.15,tag0,06/27/2015 09:36:25,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
146,Threat1,10.10.10.10,no tag,05/01/2014 12:13,81,APT1-70%,Exploitation,"PCI, GDPR",Open
147,Threat2,10.10.10.11,tag1,05/29/2016 18:54:29,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
148,Threat3,10.10.10.13,tag2,10/28/2018 21:53:04,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
149,Threat4,10.10.10.12,tag1,08/08/2015 22:25,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
150,Threat5,10.10.10.15,tag0,08/29/2016 01:22:54,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
151,Threat1,10.10.10.10,no tag,08/05/2018 18:06,81,APT1-70%,Exploitation,"PCI, GDPR",Open
152,Threat2,10.10.10.11,tag1,03/04/2016 21:59,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
153,Threat3,10.10.10.13,tag2,01/12/2012 00:43,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
154,Threat4,10.10.10.12,tag1,05/30/2019 21:40:45,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
155,Threat5,10.10.10.15,tag0,12/02/2015 22:12,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
156,Threat1,10.10.10.10,no tag,02/05/2018 14:04,81,APT1-70%,Exploitation,"PCI, GDPR",Open
157,Threat2,10.10.10.11,tag1,03/08/2019 04:36,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
158,Threat3,10.10.10.13,tag2,08/23/2017 22:43:37,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
159,Threat4,10.10.10.12,tag1,05/07/2012 04:12,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
160,Threat5,10.10.10.15,tag0,08/09/2016 17:20,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
161,Threat1,10.10.10.10,no tag,01/11/2017 18:37,81,APT1-70%,Exploitation,"PCI, GDPR",Open
162,Threat2,10.10.10.11,tag1,03/09/2014 18:31,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
163,Threat3,10.10.10.13,tag2,02/19/2013 18:31:11,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
164,Threat4,10.10.10.12,tag1,11/29/2013 07:09:26,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
165,Threat5,10.10.10.15,tag0,01/12/2013 22:23,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
166,Threat1,10.10.10.10,no tag,03/15/2014 14:41:20,81,APT1-70%,Exploitation,"PCI, GDPR",Open
167,Threat2,10.10.10.11,tag1,03/08/2019 15:32,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
168,Threat3,10.10.10.13,tag2,02/13/2015 13:04:47,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
169,Threat4,10.10.10.12,tag1,10/27/2013 14:37:43,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
170,Threat5,10.10.10.15,tag0,07/28/2020 17:34:21,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
171,Threat1,10.10.10.10,no tag,10/17/2017 04:16:26,81,APT1-70%,Exploitation,"PCI, GDPR",Open
172,Threat2,10.10.10.11,tag1,02/24/2015 05:59:32,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
173,Threat3,10.10.10.13,tag2,06/30/2020 08:49:35,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
174,Threat4,10.10.10.12,tag1,04/23/2014 19:27:44,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
175,Threat5,10.10.10.15,tag0,06/27/2014 01:59:44,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
176,Threat1,10.10.10.10,no tag,03/28/2015 12:54:06,81,APT1-70%,Exploitation,"PCI, GDPR",Open
177,Threat2,10.10.10.11,tag1,10/08/2018 17:51,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
178,Threat3,10.10.10.13,tag2,07/04/2017 04:01,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
179,Threat4,10.10.10.12,tag1,01/01/2015 02:50,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
180,Threat5,10.10.10.15,tag0,08/15/2014 12:17:10,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
181,Threat1,10.10.10.10,no tag,04/23/2019 06:00:10,81,APT1-70%,Exploitation,"PCI, GDPR",Open
182,Threat2,10.10.10.11,tag1,09/11/2019 10:59,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
183,Threat3,10.10.10.13,tag2,06/08/2020 10:34,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
184,Threat4,10.10.10.12,tag1,01/05/2014 19:55,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
185,Threat5,10.10.10.15,tag0,04/27/2015 00:52:29,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
186,Threat1,10.10.10.10,no tag,12/15/2012 01:42:59,81,APT1-70%,Exploitation,"PCI, GDPR",Open
187,Threat2,10.10.10.11,tag1,10/02/2019 07:40,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
188,Threat3,10.10.10.13,tag2,04/19/2014 05:56:44,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
189,Threat4,10.10.10.12,tag1,04/13/2016 01:44:26,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
190,Threat5,10.10.10.15,tag0,07/10/2012 08:48,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
191,Threat1,10.10.10.10,no tag,01/27/2015 07:55:29,81,APT1-70%,Exploitation,"PCI, GDPR",Open
192,Threat2,10.10.10.11,tag1,09/30/2019 01:31:18,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
193,Threat3,10.10.10.13,tag2,06/22/2017 04:39:36,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
194,Threat4,10.10.10.12,tag1,10/08/2013 12:55,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
195,Threat5,10.10.10.15,tag0,04/30/2016 00:39:01,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
196,Threat1,10.10.10.10,no tag,12/29/2017 10:10:10,81,APT1-70%,Exploitation,"PCI, GDPR",Open
197,Threat2,10.10.10.11,tag1,01/17/2014 17:16:29,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
198,Threat3,10.10.10.13,tag2,08/27/2015 05:13:25,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
199,Threat4,10.10.10.12,tag1,06/06/2012 23:50,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
200,Threat5,10.10.10.15,tag0,06/24/2016 18:03:51,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
201,Threat1,10.10.10.10,no tag,09/08/2012 00:21,81,APT1-70%,Exploitation,"PCI, GDPR",Open
202,Threat2,10.10.10.11,tag1,05/02/2013 06:12,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
203,Threat3,10.10.10.13,tag2,08/16/2016 02:17:19,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
204,Threat4,10.10.10.12,tag1,01/23/2016 15:41:53,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
205,Threat5,10.10.10.15,tag0,06/11/2012 23:44,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
206,Threat1,10.10.10.10,no tag,02/19/2015 04:43:43,81,APT1-70%,Exploitation,"PCI, GDPR",Open
207,Threat2,10.10.10.11,tag1,07/19/2013 12:29:02,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
208,Threat3,10.10.10.13,tag2,01/26/2015 16:09:47,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
209,Threat4,10.10.10.12,tag1,01/24/2017 06:54:58,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
210,Threat5,10.10.10.15,tag0,09/13/2016 07:16:59,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
211,Threat1,10.10.10.10,no tag,04/09/2019 14:49,81,APT1-70%,Exploitation,"PCI, GDPR",Open
212,Threat2,10.10.10.11,tag1,11/07/2015 11:42,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
213,Threat3,10.10.10.13,tag2,12/11/2012 16:11,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
214,Threat4,10.10.10.12,tag1,02/01/2014 03:02,89,APT50-80%,Obfuscation / Anti-forensics,"GPG, GDPR",Closed
215,Threat5,10.10.10.15,tag0,05/25/2014 01:19:22,96,APT10-20%,Exploitation,"GPG, ISO 27001",Open
216,Threat1,10.10.10.10,no tag,03/16/2014 06:36:00,81,APT1-70%,Exploitation,"PCI, GDPR",Open
217,Threat2,10.10.10.11,tag1,01/06/2016 08:31,85,APT1-50%,Reconnaissance,"NIST, GDPR",In Progress
218,Threat3,10.10.10.13,tag2,12/23/2013 18:01:54,92,APT15-70%,Lateral Movement,"ISO 27001, TSC",In Progress
